"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","문화사업자구분명","총층수","주변환경명","제작취급품목내용","시설면적","지상층수","지하층수","건물용도명","통로너비","조명시설조도","노래방실수","청소년실수","비상계단여부","비상구여부","자동환기여부","청소년실여부","특수조명여부","방음시설여부","비디오재생기명","조명시설유무","음향시설여부","편의시설여부","소방시설여부","총게임기수","기존게임업외업종명","제공게임물명","공연장형태구분명","품목명","최초등록시점","지역구분명",
"15","영화상영업","03_13_03_P","3460000","CDFF5211042000000001","20001120","","03","폐업","03","폐업","20200430","","","","","","","대구광역시 수성구 범어동 1번지 대구문화방송국건물","대구광역시 수성구 동대구로 400 (범어동,대구문화방송국건물)","","대구문화방송(주)","20200507165532","U","2020-05-09 02:40:00.0","","347005.779577","264122.323865","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20001120","",
"16","영화상영업","03_13_03_P","3460000","CDFF5211042003000001","20030314","","03","폐업","03","폐업","","","","","053-794-3844","","","대구광역시 수성구 대흥동 산 35번지","대구광역시 수성구 월드컵로 2-46 (대흥동)","706130","씨네월드컵","20160419190849","I","2018-08-31 23:59:59.0","","352045.000328","259551.002452","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20030314","",
"17","영화상영업","03_13_03_P","3420000","CDFF5211042004000001","20040625","","03","폐업","03","폐업","20110128","","","","","","","대구광역시 동구 효목동 518-1번지 307호","대구광역시 동구 화랑로 95,  307호 (효목동)","","세훈영상","20110128143845","I","2018-08-31 23:59:59.0","","347764.315977","264869.90798","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20040625","",
"18","영화상영업","03_13_03_P","4490000","CDFF5211042005000001","20050613","","03","폐업","03","폐업","20110102","","","","041-566-4400","","","충청남도 천안시 서북구 두정동 68-1번지","충청남도 천안시 서북구 1공단1길 52  (두정동)","","(주)트리스타","20120112153920","I","2018-08-31 23:59:59.0","","213076.325825","370130.331313","영화상영업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","20050613","",
"19","영화상영업","03_13_03_P","4490000","CDFF5211042005000002","20051128","","03","폐업","03","폐업","","","","","","","","충청남도 천안시 동남구 신부동 354-1번지","충청남도 천안시 동남구 만남로 43 (신부동)","330160","(주)아라리오","20190409140938","U","2019-04-11 02:40:00.0","","213910.850637","368774.087612","영화상영업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","20051128","",
"20","영화상영업","03_13_03_P","4490000","CDFF5211042009000001","20090615","","03","폐업","03","폐업","20120130","","","","041-554-6061","","","충청남도 천안시 서북구 신당동 452-3번지","충청남도 천안시 서북구 천안대로 1348  (신당동)","","메가마트 자동차 극장","20120130112914","I","2018-08-31 23:59:59.0","","213510.455827","373363.365631","영화상영업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","20090615","",
"21","영화상영업","03_13_03_P","4490000","CDFF5211042011000001","20110103","","03","폐업","03","폐업","20131030","","","","041-566-4400","","","충청남도 천안시 서북구 두정동 68-1 센트하임프라자 4층","충청남도 천안시 서북구 1공단1길 52, 4층 (두정동, 센트하임프라자)","331957","메가박스 천안(씨네예스 주식회사)","20220117094812","U","2022-01-19 02:40:00.0","","213076.325825","370130.331313","영화상영업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","20110103","",
"22","영화상영업","03_13_03_P","4540000","CDFF5211042009000001","20090211","","03","폐업","03","폐업","20161226","","","","","","","충청남도 논산시 연산면 임리 307-3번지","충청남도 논산시 연산면 계백로 1811-25","320872","황산벌자동차극장","20161227152841","I","2018-08-31 23:59:59.0","","215345.514244","301526.529938","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20090211","",
"23","영화상영업","03_13_03_P","3910000","CDFF5211042001000001","20010310","","03","폐업","03","폐업","","","","","031-664-3000","","","경기도 평택시 진위면 봉남리 432번지","경기도 평택시 진위면 진위서로 264-15","","거인기획","20170109154917","I","2018-08-31 23:59:59.0","","207629.69589382","399599.029563384","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20010310","",
"24","영화상영업","03_13_03_P","3910000","CDFF5211042011000001","20110831","","03","폐업","03","폐업","","","","","","","","경기도 평택시 서정동","경기도 평택시 관광특구로 19 (서정동)","459812","롯데시네마(송탄)","20170109174015","I","2018-08-31 23:59:59.0","","205355.994223928","396167.998227949","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20110831","",
"25","영화상영업","03_13_03_P","3210000","CDFF5211042018000003","20180723","","03","폐업","03","폐업","20191231","","","","025842430","","","서울특별시 서초구 서초동 1685-8 G5센트럴프라자","서울특별시 서초구 서초중앙로24길 27, G5센트럴프라자 323호 (서초동)","06601","(주)컨텐츠펜슬","20201113100806","U","2020-11-17 02:40:00.0","","201386.338220173","443689.075119969","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20180723","",
"26","영화상영업","03_13_03_P","3020000","CDFF5211042006000003","20061130","","03","폐업","03","폐업","20110413","","","","3443-2568","","","서울특별시 용산구 한남동 635-1번지 신화빌딩 6층","서울특별시 용산구 한남대로21길 17  (한남동,신화빌딩 6층)","","(주)미로비젼","20110413095553","I","2018-08-31 23:59:59.0","","200506.526414837","447984.668766655","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20061130","",
"27","영화상영업","03_13_03_P","3110000","CDFF5211042000000002","20000107","","03","폐업","03","폐업","20141212","","","","02-354-1631","","","서울특별시 은평구 불광동 31-2번지","서울특별시 은평구 불광로18가길 20-2 (불광동)","","객석시네마","20141212163425","I","2018-08-31 23:59:59.0","","194088.398130715","457916.950344408","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20000107","",
"28","영화상영업","03_13_03_P","3110000","CDFF5211041999000001","19990702","","03","폐업","03","폐업","20210813","","","","02-357-5900","","","서울특별시 은평구 불광동 304-2","서울특별시 은평구 통일로 830 (불광동)","","메가박스 은평","20210817113039","U","2021-08-19 02:40:00.0","","193109.419843332","457278.802885165","영화상영업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","19990702","",
"29","영화상영업","03_13_03_P","3000000","CDFF5211042009000001","20090618","","03","폐업","03","폐업","20200728","","","","2279-8338","","","서울특별시 종로구 예지동 222","서울특별시 종로구 청계천로 187 (예지동)","","바다극장","20200804153702","U","2020-08-06 02:40:00.0","","199794.250869762","451891.4859896","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20090618","",
"30","영화상영업","03_13_03_P","3010000","CDFF5211042015000003","20120228","","03","폐업","03","폐업","20170113","","","","070-8670-4486","","","서울특별시 중구 태평로1가 61-21번지","서울특별시 중구 세종대로21길 40, 1층 (태평로1가, 씨스퀘어빌딩)","04519","(주)영화사조제","20170113110338","I","2018-08-31 23:59:59.0","","197799.544196134","451775.169253151","영화상영업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","20120228","",
"31","영화상영업","03_13_03_P","3010000","CDFF5211042018000001","20130502","","03","폐업","03","폐업","20171231","","","","","","","서울특별시 중구 필동1가 40-1번지 동화빌딩","서울특별시 중구 퇴계로 189, 동화빌딩 307호 (필동1가)","04554","모비딕엔터테인먼트(주)","20180108105951","I","2018-08-31 23:59:59.0","","199298.907451279","450999.189428486","영화상영업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","20130502","",
"32","영화상영업","03_13_03_P","3120000","CDFF5211042003000001","20030531","","03","폐업","03","폐업","20130306","","","","","","","서울특별시 서대문구 창천동 20-25번지","서울특별시 서대문구 신촌로 129  (창천동)","","(주)아트레온","20130307095933","I","2018-08-31 23:59:59.0","","194649.344011611","450478.352188795","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20030531","",
"33","영화상영업","03_13_03_P","3120000","CDFF5211042005000001","20050322","","03","폐업","03","폐업","20130102","","","","","","","서울특별시 서대문구 미근동 163번지","서울특별시 서대문구 충정로 76  (미근동)","","서대문아트홀","20130130094730","I","2018-08-31 23:59:59.0","","197062.40651600000","451739.31742600000","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20050322","",
"34","영화상영업","03_13_03_P","3120000","CDFF5211042010000001","20100827","","03","폐업","03","폐업","20191121","","","","","","","서울특별시 서대문구 미근동 163번지","서울특별시 서대문구 충정로 76 (미근동)","","함께하는 문화","20191122094120","U","2019-11-24 02:40:00.0","","197062.40651600000","451739.31742600000","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20100827","",
"35","영화상영업","03_13_03_P","3000000","CDFF5211042009000002","20091207","","03","폐업","03","폐업","20130122","","","","3673-4171","","","서울특별시 종로구 명륜3가 1-111번지 2층","서울특별시 종로구 창경궁로27길 27-1  (명륜3가,2층)","","꿈틀","20130128174424","I","2018-08-31 23:59:59.0","","199635.069254984","453396.280071147","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20091207","",
"36","영화상영업","03_13_03_P","3180000","CDFF5211041987000001","19870123","","03","폐업","03","폐업","20150803","","","","789-5869","","","서울특별시 영등포구 여의도동 60번지","서울특별시 영등포구 63로 50 (여의도동)","","한화호텔앤드리조트 주식회사","20150821155328","I","2018-08-31 23:59:59.0","","194632.526367463","446401.926526228","영화상영업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","19870123","",
"37","영화상영업","03_13_03_P","3180000","CDFF5211041999000001","19990629","","03","폐업","03","폐업","","","","","2678-1014","","","서울특별시 영등포구 영등포동3가 2번지","서울특별시 영등포구 영등포로 256  (영등포동3가)","","연흥극장(1~3관, 5~7관)","20100714165626","I","2018-08-31 23:59:59.0","","191960.889844759","446273.11078284","영화상영업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","19990629","",
"38","영화상영업","03_13_03_P","3180000","CDFF5211042005000001","20050216","","03","폐업","03","폐업","20091217","","","","2633-7296","","","서울특별시 영등포구 영등포동3가 8-1번지","서울특별시 영등포구 영중로8길 6  (영등포동3가)","","㈜에쉐르시네마","20100430135203","I","2018-08-31 23:59:59.0","","191650.262823467","446234.789725611","영화상영업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","20050216","",
"39","영화상영업","03_13_03_P","3180000","CDFF5211042005000002","20050216","","03","폐업","03","폐업","20091218","","","","2633-7388","","","서울특별시 영등포구 영등포동3가 8-1번지","서울특별시 영등포구 영중로8길 6  (영등포동3가)","","㈜에쉐르종합건설","20100430135203","I","2018-08-31 23:59:59.0","","191650.262823467","446234.789725611","영화상영업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","20050216","",
"40","영화상영업","03_13_03_P","3180000","CDFF5211042006000001","20060728","","03","폐업","03","폐업","20140331","","","","2678-6790","","","서울특별시 영등포구 영등포동6가 52-9번지","서울특별시 영등포구 영신로42길 21 (영등포동6가)","","영휘프로덕션","20140331210207","I","2018-08-31 23:59:59.0","","191443.012550687","446609.110301727","영화상영업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","20060728","",
"41","영화상영업","03_13_03_P","3180000","CDFF5211042007000001","20070911","","03","폐업","03","폐업","20140628","","","","02-572-7147","","","서울특별시 영등포구 문래동3가 55-16번지","","","인피니씨네마","20141226104759","I","2018-08-31 23:59:59.0","","191087.758954321","446157.437289242","영화상영업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","20070911","",
"42","영화상영업","03_13_03_P","3180000","CDFF5211042014000001","20140602","","03","폐업","03","폐업","20191230","","","","02-2655-9433","","","서울특별시 영등포구 영등포동8가 92번지 KnK디지털타워 1009호","서울특별시 영등포구 영신로 220, 1009호 (영등포동8가, KnK디지털타워)","150038","(주)엠티에스정보기술","20191230154306","U","2020-01-01 02:40:00.0","","191457.663413167","447179.850506981","영화상영업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","20140602","",
"43","영화상영업","03_13_03_P","3180000","CDFF5211042014000002","20140627","","03","폐업","03","폐업","20160329","","","","","","","서울특별시 영등포구 양평동3가 13번지","서울특별시 영등포구 양산로 57-5, 301호 (양평동3가, 이노플렉스)","150103","(주) 리키필름","20171123103936","I","2018-08-31 23:59:59.0","","190146.79444215","447018.198264889","영화상영업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","20140627","",
"44","영화상영업","03_13_03_P","3000000","CDFF5211042011000002","20110511","","03","폐업","03","폐업","20130809","","","","","","","서울특별시 종로구 명륜3가 109-4번지 지하1층","서울특별시 종로구 성균관로3길 20-4  (명륜3가,지하1층)","","마술램프","20130809165631","I","2018-08-31 23:59:59.0","","199666.948921028","453452.586227938","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20110511","",
"45","영화상영업","03_13_03_P","3000000","CDFF5211042012000001","20000720","","03","폐업","03","폐업","20210907","","","","","","","서울특별시 종로구 관수동 59-7","서울특별시 종로구 돈화문로 13 (관수동)","110420","합동영화(주)","20210907111847","U","2021-09-09 02:40:00.0","","199205.329842153","451945.821955137","영화상영업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","20000720","",
"46","영화상영업","03_13_03_P","3000000","CDFF5211042012000003","20120326","","03","폐업","03","폐업","20130311","","","","","","","서울특별시 종로구 익선동 34번지 비즈웰오피스텔 621호","서울특별시 종로구 삼일대로30길 23, 621호 (익선동, 비즈웰오피스텔)","110340","다트앤","20130314184147","I","2018-08-31 23:59:59.0","","198938.628193769","452464.092338006","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20120326","",
"47","영화상영업","03_13_03_P","3000000","CDFF5211041999000001","19990624","","03","폐업","03","폐업","20160419","","","","","","","서울특별시 종로구 돈의동 137번지","서울특별시 종로구 돈화문로5가길 1 (돈의동)","110808","(주)피카디리극장","20160419192648","I","2018-08-31 23:59:59.0","","199155.542697952","452083.12305066","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19990624","",
"48","영화상영업","03_13_03_P","3000000","CDFF5211041999000002","19990701","","03","폐업","03","폐업","20140117","","","","","","","서울특별시 종로구 동숭동 1-5번지","서울특별시 종로구 동숭길 122 (동숭동)","","(주)동숭아트센타","20140117151943","I","2018-08-31 23:59:59.0","","200257.115683163","453485.12004217","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19990701","",
"49","영화상영업","03_13_03_P","3000000","CDFF5211041999000004","19990712","","03","폐업","03","폐업","20140328","","","","","","","서울특별시 종로구 장사동 156-1번지","서울특별시 종로구 청계천로 163 (장사동)","","(주)연흥아세아","20140328155752","I","2018-08-31 23:59:59.0","","199561.640995325","451858.661758256","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19990712","",
"50","영화상영업","03_13_03_P","3000000","CDFF5211041999000005","19990828","","03","폐업","03","폐업","20081226","","","","","","","서울특별시 종로구 연지동 270번지","서울특별시 종로구 종로33길 15 (연지동)","","(재)연강재단","20141210112550","I","2018-08-31 23:59:59.0","","200038.343054497","452178.774541021","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19990828","",
"51","영화상영업","03_13_03_P","3180000","CDFF5211042014000004","20141024","","03","폐업","03","폐업","20160714","","","","","","","서울특별시 영등포구 영등포동2가 145번지 301호","서울특별시 영등포구 버드나루로 1, 301호 (영등포동2가)","150903","(주) 제이제이스타즈","20170420124146","I","2018-08-31 23:59:59.0","","192165.352442523","446305.904130001","영화상영업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","20141024","",
"52","영화상영업","03_13_03_P","3180000","CDFF5211042018000001","20180615","","03","폐업","03","폐업","20211006","","","","","","","서울특별시 영등포구 여의도동 14-21 엘지여의도에클라트 320호","서울특별시 영등포구 국회대로 780, 엘지여의도에클라트 320호 (여의도동)","07237","주식회사 레인메이커필름","20211006164156","U","2021-10-08 02:40:00.0","","192785.997964211","447523.1165117","영화상영업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","20180615","",
"53","영화상영업","03_13_03_P","3230000","CDFF5211042016000001","20090401","","03","폐업","03","폐업","20200325","","","","031-320-8349","","","서울특별시 송파구 신천동 7-29번지","서울특별시 송파구 올림픽로35길 123 (신천동, 향군타워)","05510","삼성물산(주)","20200325194721","U","2020-03-27 02:40:00.0","","208883.088818201","446048.260013091","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20090401","",
"54","영화상영업","03_13_03_P","3940000","CDFF5211041999000001","19991015","","03","폐업","03","폐업","20180305","","","","","","","경기도 고양시 덕양구 성사동 신원당6단지아파트 605동 1501호","","","열린영화","20180306090157","I","2018-11-03 13:17:14.0","","","","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19991015","",
"55","영화상영업","03_13_03_P","3940000","CDFF5211042005000002","20050126","","03","폐업","03","폐업","20110629","","","","","","","경기도 고양시 덕양구 화정동 972번지 영프라자 8층","경기도 고양시 덕양구 화신로272번길 58  (화정동,영프라자 8층)","","(주)화정시네마","20110728060741","I","2018-11-03 13:17:14.0","","185111.707494025","459046.501169143","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20050126","",
"56","영화상영업","03_13_03_P","5220000","CDFF5211042018000001","20181204","","03","폐업","03","폐업","20200713","","","","","","","경상북도 칠곡군 석적읍 포남리 608","경상북도 칠곡군 석적읍 석적로 646","39848","칠곡호이영화관","20200907085527","U","2020-09-09 02:40:00.0","","326919.179811208","284356.124826399","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20181204","",
"57","영화상영업","03_13_03_P","3600000","CDFF5211042017000001","20170407","","03","폐업","03","폐업","20190521","","","","","","","광주광역시 서구 치평동 278-7번지","광주광역시 서구 마륵복개로 137, 4층 (치평동)","61998","(주)우주환경","20190523141251","U","2019-05-25 02:40:00.0","","186492.032388","183203.592956","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20170407","",
"58","영화상영업","03_13_03_P","3590000","CDFF5211041961000001","19611222","","03","폐업","03","폐업","20130925","","","","227-7608","","","광주광역시 동구 황금동 12-2번지","","","(주)제일시네마","20130926090546","I","2018-08-31 23:59:59.0","","192149.201953","183221.928851","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19611222","",
"59","영화상영업","03_13_03_P","3470000","CDFF5211042001000001","20011221","","03","폐업","03","폐업","20110525","","","","624-3691","","","대구광역시 달서구 본동 1117번지","","","대구시네파크","20110526103550","I","2018-08-31 23:59:59.0","","338956.044067","260250.791065","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20011221","",
"60","영화상영업","03_13_03_P","3470000","CDFF5211042003000001","20030421","","03","폐업","03","폐업","20150205","","","","656-6655","","","대구광역시 달서구 송현동 702번지","대구광역시 달서구 앞산순환로 180 (송현동)","","대구광역시청소년수련원","20150205162529","I","2018-08-31 23:59:59.0","","340383.71632200000","259292.93211000000","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20030421","",
"61","영화상영업","03_13_03_P","3470000","CDFF5211042004000001","20040427","","03","폐업","03","폐업","20131023","","","","624-7590","","","대구광역시 달서구 두류동 산 302-11번지","대구광역시 달서구 두류공원로 200  (두류동)","","씨네타워","20131023130620","I","2018-08-31 23:59:59.0","","341301.554735","262585.135012","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20040427","",
"62","영화상영업","03_13_03_P","3470000","CDFF5211042004000002","20040909","","03","폐업","03","폐업","20121114","","","","","","","대구광역시 달서구 본동 764-2번지","대구광역시 달서구 구마로 106 (본동)","704807","진필름","20121114100237","I","2018-08-31 23:59:59.0","","339006.509117","260745.72604","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20040909","",
"63","영화상영업","03_13_03_P","3410000","CDFF5211042017000001","20070305","","03","폐업","03","폐업","20190125","","","","053-254-2900","","","대구광역시 중구 봉산동 150-1번지 8층","대구광역시 중구 달구벌대로 2127, 8층 (봉산동)","41943","주식회사 티씨엔프로덕션","20190125174254","U","2019-01-27 02:40:00.0","","344137.067824","263958.211083","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20070305","",
"64","영화상영업","03_13_03_P","3410000","CDFF5211042000000002","20001211","","03","폐업","03","폐업","20130131","","","","053-600-2114","","","대구광역시 중구 동성로2가 88-22번지","대구광역시 중구 동성로 39 (동성로2가)","700092","(주)씨네씨티한일","20130131150349","I","2018-08-31 23:59:59.0","","344009.240936","264537.611182","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20001211","",
"65","영화상영업","03_13_03_P","3410000","CDFF5211042009000001","20090819","","03","폐업","03","폐업","20100202","","","","02-3393-8896","","","대구광역시 중구 포정동 21-3번지 중앙상가 3층 315호","대구광역시 중구 경상감영길 101,  315호 (포정동,중앙상가 3층)","","대경영화사","20100706161930","I","2018-08-31 23:59:59.0","","343800.362369","264745.47733","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20090819","",
